"Project","Year","Month","Day","Site","Period","Season","Bottom","Cultch","Quadrat","Weight","Spat","Sublegal","Legal"
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,1,0.15,15,4,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,2,0.2,4,1,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,3,0.2,23,6,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,4,0.15,2,0,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,5,0.25,24,6,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,6,0.15,0,0,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,7,0.25,10,3,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,8,0.35,22,6,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,9,0.2,30,8,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,10,0.25,24,7,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,11,0.25,13,3,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,12,0.05,2,0,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,13,0.2,3,1,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,14,0.05,6,2,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,15,0.25,25,7,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,1,2,719,191,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,2,3.25,1488,395,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,3,2.5,818,217,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,4,2,993,264,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,5,3,1319,350,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,6,1.75,672,178,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,7,2.75,851,226,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,8,3.25,1118,297,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,9,1.5,626,166,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,10,2,1042,277,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,11,2,658,175,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,12,0.85,180,48,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,13,1,465,124,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,14,1,269,71,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,15,0.75,168,45,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,1,3,842,224,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,2,2.5,1169,311,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,3,2.25,1084,288,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,4,2,822,219,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,5,3,1416,377,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,6,2.4,1127,300,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,7,1.1,671,178,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,8,1.5,618,164,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,9,0.6,157,42,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,10,1,408,108,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,11,0.5,150,40,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,12,0.75,227,60,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,13,0.75,195,52,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,14,1.4,705,187,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,15,1,284,76,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,16,0.75,224,59,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,1,7,1611,428,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,2,4.5,NA,NA,NA
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,3,4.5,1577,419,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,4,1,382,102,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,5,0.4,123,33,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,6,0.1,2,1,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,7,0.25,40,10,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,8,0.25,2,1,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,9,0.25,6,1,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,10,0.15,7,2,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,11,2.5,916,243,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,12,3.5,1248,332,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,13,9.25,3662,974,1
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,14,3,1078,287,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,15,4.75,2063,548,1
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,1,10,2678,712,1
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,2,0.35,69,18,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,3,0.45,59,16,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,4,0.3,32,9,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,5,1.15,383,102,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,6,0.75,386,103,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,7,0.75,290,77,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,8,1.25,712,189,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,9,7.5,2417,642,1
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,10,2.5,818,218,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,11,7.5,1815,483,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,12,2.5,832,221,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,13,0.7,241,64,0
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,14,8.3,2031,540,1
"NFWF_1",2015,10,6,"Bulkhead",2,"Winter","Shell",300,15,2.75,1300,345,0
"NFWF_1",2015,10,14,"Hotel Bar",2,"Winter","Shell",100,1,0.9,153,41,0
