"Bay","Site","Quadrat","Weight_kg","Adults","Seed","Spat","Total Live","Total Dead","Month","Day","Year","Date","Period","Season"
"St. Andrews","West Bay Point",1,3.46,0,4,20,24,11,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",2,4.7,0,11,100,111,21,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",3,2.96,0,6,62,68,18,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",4,2.81,0,4,69,73,33,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",5,5.08,0,11,59,70,37,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",1,2.46,0,1,19,20,21,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",2,1.66,0,6,49,55,15,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",3,3.14,0,5,39,44,7,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",4,5.39,0,9,133,142,13,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",5,4.1,0,5,72,77,0,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",1,1.07,0,5,22,27,26,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",2,0,0,0,0,0,0,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",3,0.86,0,0,7,7,11,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",4,3.03,0,1,46,47,28,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",5,0.57,0,0,9,9,5,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",1,4.01,0,20,766,786,40,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",2,2.99,0,11,413,424,22,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",3,3.4,0,10,510,520,30,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",4,3.83,0,10,752,762,36,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",5,3.49,0,18,628,646,27,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",1,3.11,0,12,472,484,9,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",2,3.28,1,3,536,540,17,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",3,3.47,0,7,386,393,6,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",4,2.86,0,10,377,387,10,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",5,3.59,0,13,531,544,28,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",1,6.05,0,24,772,796,32,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",2,3.59,0,10,427,437,6,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",3,2.98,0,14,336,350,15,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",4,4.05,1,23,590,614,34,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","South Channel Ridge",5,3.66,1,20,708,729,20,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",1,1.95,0,4,10,14,8,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",2,3.22,0,11,65,76,29,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",3,2.89,0,2,69,71,20,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",4,2.33,0,6,50,56,27,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",5,1.72,0,2,39,41,16,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",1,1.8,0,1,20,21,12,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",2,3.35,0,9,49,58,21,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",3,2.4,0,3,24,27,22,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",4,1.95,0,9,35,44,15,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",5,1.4,0,3,12,15,4,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",1,2.25,0,1,11,12,19,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",2,3.92,0,8,65,73,30,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",3,4.95,0,10,53,63,26,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",4,5.55,0,5,65,70,19,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","West Bay Point",5,4.09,0,9,48,57,26,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",1,2.21,0,11,37,48,6,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",2,1.92,0,23,54,77,4,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",3,1.74,0,13,34,47,3,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",4,1.69,0,19,41,60,7,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",5,3.36,0,27,58,85,5,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",1,2,0,24,62,86,10,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",2,1.38,0,13,27,40,0,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",3,1.33,0,7,16,23,2,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",4,1.16,0,9,22,31,3,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",5,0.56,0,5,7,12,2,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",1,3.43,0,31,158,189,5,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",2,3.94,0,57,88,145,7,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",3,2.88,0,31,72,103,16,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",4,2.81,1,30,78,109,6,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Doyle Bayou",5,1.84,0,22,60,82,6,"12","16","2019",2019-12-16,8,"Winter"
"St. Andrews","Little Oyster Bar Point",1,1.57,7,63,20,90,5,"12","30","2019",2019-12-30,8,"Winter"
"St. Andrews","Little Oyster Bar Point",2,0.7,0,21,42,63,3,"12","30","2019",2019-12-30,8,"Winter"
"St. Andrews","Little Oyster Bar Point",3,1.88,0,22,68,90,4,"12","30","2019",2019-12-30,8,"Winter"
"St. Andrews","Little Oyster Bar Point",4,1.43,0,18,32,50,4,"12","30","2019",2019-12-30,8,"Winter"
"St. Andrews","Little Oyster Bar Point",5,2.03,0,21,27,48,4,"12","30","2019",2019-12-30,8,"Winter"
"St. Andrews","Little Oyster Bar Point",1,2.28,1,24,37,62,6,"12","30","2019",2019-12-30,8,"Winter"
"St. Andrews","Little Oyster Bar Point",2,2.73,0,63,59,122,6,"12","30","2019",2019-12-30,8,"Winter"
"St. Andrews","Little Oyster Bar Point",3,2.21,0,23,21,44,2,"12","30","2019",2019-12-30,8,"Winter"
"St. Andrews","Little Oyster Bar Point",4,3.07,3,62,82,147,4,"12","30","2019",2019-12-30,8,"Winter"
"St. Andrews","Little Oyster Bar Point",5,1.56,0,20,42,62,6,"12","30","2019",2019-12-30,8,"Winter"
"St. Andrews","Little Oyster Bar Point",1,2.2,1,34,78,113,10,"12","30","2019",2019-12-30,8,"Winter"
"St. Andrews","Little Oyster Bar Point",2,0.51,0,4,9,13,0,"12","30","2019",2019-12-30,8,"Winter"
"St. Andrews","Little Oyster Bar Point",3,1.16,0,17,29,46,6,"12","30","2019",2019-12-30,8,"Winter"
