"Bay","Project","Year","Month","Day","Site","Period","Season","Bottom","Cultch","Quadrat","Weight_kg","Spat","Seed","Legal"
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,1,0.15,15,4,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,2,0.2,4,1,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,3,0.2,23,6,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,4,0.15,2,0,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,5,0.25,24,6,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,6,0.15,0,0,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,7,0.25,10,3,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,8,0.35,22,6,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,9,0.2,30,8,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,10,0.25,24,7,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,11,0.25,13,3,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,12,0.05,2,0,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,13,0.2,3,1,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,14,0.05,6,2,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,15,0.25,25,7,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,1,2,719,191,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,2,3.25,1488,395,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,3,2.5,818,217,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,4,2,993,264,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,5,3,1319,350,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,6,1.75,672,178,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,7,2.75,851,226,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,8,3.25,1118,297,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,9,1.5,626,166,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,10,2,1042,277,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,11,2,658,175,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,12,0.85,180,48,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,13,1,465,124,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,14,1,269,71,0
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,15,0.75,168,45,0
