"Bay","Site","Quadrat","Weight_kg","Adults","Seed","Spat","Total Live","Total Dead","Month","Day","Year","Date","Period","Season"
"Apalachicola Bay","Redfish Creek 1",1,2.54,0,1,0,1,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",2,3.1,0,1,0,1,1,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",3,3.05,0,0,2,2,1,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",4,3.05,0,0,0,0,2,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",5,3.94,0,0,3,3,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",1,3.28,0,0,2,2,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",2,2.43,0,5,1,6,1,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",3,1.7,0,0,2,2,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",4,2.62,0,2,3,5,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",5,1.74,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",1,1.44,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",2,1.55,0,1,2,3,3,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",3,1.15,0,0,1,1,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",4,0.63,0,0,1,1,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",5,1.48,0,0,1,1,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",1,0.78,0,0,3,3,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",2,1.21,0,0,1,1,1,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",3,1.02,0,0,1,1,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",4,0.97,0,0,1,1,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",5,1.35,2,0,1,3,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",1,1.15,0,0,2,2,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",2,1.23,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",3,0.79,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",4,1.04,0,0,3,3,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",5,0.98,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",1,1.44,0,0,1,1,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",2,0.96,0,1,0,1,1,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",3,1.09,0,1,0,1,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",4,1.02,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 1",5,0.74,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",1,1.59,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",2,1.38,0,1,6,7,2,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",3,1.27,0,0,2,2,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",4,1.51,0,1,1,2,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",5,1.21,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",1,1.94,0,0,5,5,1,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",2,1.25,0,1,1,2,1,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",3,1.49,0,1,0,1,2,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",4,2,0,1,2,3,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",5,2.06,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",1,1.52,0,0,1,1,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",2,1.66,0,2,0,2,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",3,0.88,0,2,0,2,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",4,1.31,0,0,0,0,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Redfish Creek 2",5,1.78,1,3,1,5,0,7,13,2021,2021-07-13,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",1,1.4,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",2,0.57,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",3,1.35,0,0,1,1,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",4,2.67,0,0,3,3,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",5,1.4,0,3,0,3,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",1,2.7,0,1,2,3,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",2,2.73,0,2,3,5,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",3,2.56,0,1,2,3,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",4,5.82,1,1,0,2,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",5,2.12,0,0,3,3,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",1,2.33,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",2,2.18,0,0,0,0,1,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",3,2.86,0,0,0,0,0,7,16,2021,2021-07-16,13,"Summer"
"Apalachicola Bay","Cabbage Lumps",4,2.06,0,0,0,0,1,7,16,2021,2021-07-16,13,"Summer"
