"Date","Bay","Site","Quadrat","Weight","Legal","Sublegal","Spat","Total_Live","Total_Dead","Month","Day","Year","Full_year","Period","season"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",1,0.54,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",2,0.33,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",3,0.77,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",4,0.53,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",5,0.76,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",1,0,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",2,0.02,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",3,0.02,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",4,0,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",5,0,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",1,0.92,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",2,0.82,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",3,0.42,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",4,0.71,0,0,1,1,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #1",5,0.62,0,0,0,0,0,9,20,2017,"2017-09-20",5,"Summer"
"9/20/2017 12:00:00 AM","Pensacola","Trout Bayou #2",1,2.93,0,0,0,0,2,9,20,2017,"2017-09-20",5,"Summer"
