"Harvested","Processed","Round","Bay","Site","Ident","Midpoint","Side_of_Boat","Sample_ID","Quadrat","Weight_kg","Adults_75mm","Seed_26_74mm","Spat_0_25mm","Live","Dead","notes","Project","RowID","LocationID"
"9/20/2017 12:00:00 AM","9/20/2017 12:00:00 AM","Round 1","Pensacola","Trout Bayou #1","TB1MP","MP1","Starboard","TB1-MP1-S1","1","0.54","0","0","0","0","0","","NRDA_PCola","1","308181"
"9/20/2017 12:00:00 AM","9/20/2017 12:00:00 AM","Round 1","Pensacola","Trout Bayou #1","TB1MP","MP1","Starboard","TB1-MP1-S2","2","0.33","0","0","0","0","0","","NRDA_PCola","2","308181"
"9/20/2017 12:00:00 AM","9/20/2017 12:00:00 AM","Round 1","Pensacola","Trout Bayou #1","TB1MP","MP1","Starboard","TB1-MP1-S3","3","0.77","0","0","0","0","0","","NRDA_PCola","3","308181"
"9/20/2017 12:00:00 AM","9/20/2017 12:00:00 AM","Round 1","Pensacola","Trout Bayou #1","TB1MP","MP1","Starboard","TB1-MP1-S4","4","0.53","0","0","0","0","0","","NRDA_PCola","4","308181"
"9/20/2017 12:00:00 AM","9/20/2017 12:00:00 AM","Round 1","Pensacola","Trout Bayou #1","TB1MP","MP1","Starboard","TB1-MP1-S5","5","0.76","0","0","0","0","0","","NRDA_PCola","5","308181"
"9/20/2017 12:00:00 AM","9/20/2017 12:00:00 AM","Round 1","Pensacola","Trout Bayou #1","TB1MP","MP1","Port","TB1-MP1-P1","1","0","0","0","0","0","0","nothing in quadrat","NRDA_PCola","6","308181"
"9/20/2017 12:00:00 AM","9/20/2017 12:00:00 AM","Round 1","Pensacola","Trout Bayou #1","TB1MP","MP1","Port","TB1-MP1-P2","2","0.02","0","0","0","0","0","","NRDA_PCola","7","308181"
"9/20/2017 12:00:00 AM","9/20/2017 12:00:00 AM","Round 1","Pensacola","Trout Bayou #1","TB1MP","MP1","Port","TB1-MP1-P3","3","0.02","0","0","0","0","0","","NRDA_PCola","8","308181"
"9/20/2017 12:00:00 AM","9/20/2017 12:00:00 AM","Round 1","Pensacola","Trout Bayou #1","TB1MP","MP1","Port","TB1-MP1-P4","4","0","0","0","0","0","0","nothing in quadrat","NRDA_PCola","9","308181"
"9/20/2017 12:00:00 AM","9/20/2017 12:00:00 AM","Round 1","Pensacola","Trout Bayou #1","TB1MP","MP1","Port","TB1-MP1-P5","5","0","0","0","0","0","0","nothing in quadrat","NRDA_PCola","10","308181"
