"Survey","Site","Station","StationName","Quadrat","TotalSpat","TotalSeed","TotalLegal","Weight_kg","Number_drills","Month","Day","Year","Period","Season"
"Fall","AB",4,"Green Point",1,1,0,0,0.92,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",2,0,0,0,1.12,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",3,1,0,0,0.96,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",4,7,0,0,1.38,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",5,3,0,0,0.83,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",6,0,0,0,0.65,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",7,0,0,0,0.67,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",8,6,0,0,1.72,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",9,0,0,0,1.11,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",10,3,0,0,0.9,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",11,0,0,0,0.58,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",12,1,0,0,0.9,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",13,1,0,0,1.02,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",14,1,0,0,0.94,0,9,27,2020,11,"Winter"
"Fall","AB",4,"Green Point",15,1,0,0,0.99,0,9,27,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",1,0,0,0,0.44,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",2,1,0,0,0.71,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",3,0,0,0,0.62,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",4,0,0,0,0.51,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",5,0,0,0,0.37,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",6,1,0,0,0.55,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",7,2,0,0,0.43,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",8,1,0,0,0.68,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",9,0,0,0,0.8,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",10,0,0,0,0.63,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",11,0,0,0,0.5,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",12,0,0,0,0.37,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",13,0,0,0,0.42,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",14,0,0,0,0.42,0,9,25,2020,11,"Winter"
"Fall","AB",7,"Lighthouse",15,0,0,0,0.52,0,9,25,2020,11,"Winter"
"Fall","AB",8,"Normans",1,0,0,0,0.75,0,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",2,0,0,0,0.94,0,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",3,0,0,0,0.81,0,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",4,0,0,0,0.79,0,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",5,0,0,0,0.74,0,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",6,0,0,0,0.87,0,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",7,1,0,0,0.45,0,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",8,0,0,0,0.8,1,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",9,0,0,0,0.71,0,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",10,0,0,0,0.72,0,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",11,0,0,0,0.88,0,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",12,0,0,0,0.83,0,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",13,0,0,0,0.54,0,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",14,1,0,0,0.63,0,9,27,2020,11,"Winter"
"Fall","AB",8,"Normans",15,0,0,0,1.2,1,9,27,2020,11,"Winter"
"Fall","AB",9,"Hotel",1,7,0,0,1.46,0,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",2,3,0,0,1.3,0,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",3,2,0,0,1.05,0,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",4,1,0,0,0.87,0,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",5,2,0,0,0.67,0,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",6,4,0,0,0.87,0,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",7,2,0,0,0.93,0,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",8,5,0,0,0.99,0,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",9,3,0,0,0.54,1,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",10,3,0,0,0.76,1,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",11,0,0,0,0.6,0,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",12,5,0,0,0.74,0,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",13,7,0,0,1.05,0,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",14,1,0,0,0.76,0,9,25,2020,11,"Winter"
"Fall","AB",9,"Hotel",15,9,0,0,0.85,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",1,0,0,0,0.02,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",2,0,0,0,0.08,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",3,0,0,0,0.15,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",4,0,0,0,0.13,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",5,0,0,0,0.28,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",6,0,0,0,0.56,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",7,0,0,0,0.28,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",8,0,0,0,0.31,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",9,0,0,0,0.32,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",10,0,0,0,0.19,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",11,1,0,0,1.18,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",12,0,0,0,0.49,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",13,0,0,0,0.32,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",14,0,0,0,0.3,0,9,25,2020,11,"Winter"
"Fall","AB",10,"East Lumps",15,0,0,0,0.78,0,9,25,2020,11,"Winter"
"Fall","AB",11,"Cat Point",1,0,0,0,0.46,0,9,25,2020,11,"Winter"
"Fall","AB",11,"Cat Point",2,1,0,0,0.56,0,9,25,2020,11,"Winter"
"Fall","AB",11,"Cat Point",3,3,0,0,0.68,0,9,25,2020,11,"Winter"
"Fall","AB",11,"Cat Point",4,0,0,0,0.48,0,9,25,2020,11,"Winter"
"Fall","AB",11,"Cat Point",5,0,0,0,0.38,0,9,25,2020,11,"Winter"
"Fall","AB",11,"Cat Point",6,1,0,0,0.51,0,9,25,2020,11,"Winter"
"Fall","AB",11,"Cat Point",7,2,0,0,0.58,0,9,25,2020,11,"Winter"
"Fall","AB",11,"Cat Point",8,2,0,0,0.6,0,9,25,2020,11,"Winter"
"Fall","AB",11,"Cat Point",9,1,0,0,0.48,0,9,25,2020,11,"Winter"
"Fall","AB",11,"Cat Point",10,1,0,0,0.47,0,9,25,2020,11,"Winter"
"Fall","AB",11,"Cat Point",11,1,0,0,0.47,0,9,25,2020,11,"Winter"
