"Survey","StationName","Quadrat","TotalSpat","TotalSeed","TotalLegal","Weight_kg","Number_drills","Month","Day","Year","Period","Season"
10,"Lighthouse",1,423,160,1,11.86,0,2,10,2022,14,"Winter"
10,"Lighthouse",2,346,131,1,9.23,0,2,10,2022,14,"Winter"
10,"Lighthouse",3,226,86,1,7.89,0,2,10,2022,14,"Winter"
10,"Lighthouse",4,372,141,1,10.43,0,2,10,2022,14,"Winter"
10,"Lighthouse",5,294,111,1,11.36,0,2,10,2022,14,"Winter"
10,"Lighthouse",6,698,265,2,13.08,0,2,10,2022,14,"Winter"
10,"Lighthouse",7,595,225,2,11.58,0,2,10,2022,14,"Winter"
10,"Lighthouse",8,455,172,2,12.22,0,2,10,2022,14,"Winter"
10,"Lighthouse",9,332,126,1,10.17,0,2,10,2022,14,"Winter"
10,"Lighthouse",10,555,210,2,13.32,0,2,10,2022,14,"Winter"
10,"Lighthouse",11,249,94,1,9.43,0,2,10,2022,14,"Winter"
10,"Lighthouse",12,457,173,2,12.65,0,2,10,2022,14,"Winter"
10,"Lighthouse",13,552,209,2,14.06,0,2,10,2022,14,"Winter"
10,"Lighthouse",14,244,93,1,8.33,0,2,10,2022,14,"Winter"
10,"Lighthouse",15,150,57,1,4.74,0,2,10,2022,14,"Winter"
10,"East Lumps",1,258,98,1,7.99,0,1,24,2022,14,"Winter"
10,"East Lumps",2,205,78,1,6.03,0,1,24,2022,14,"Winter"
10,"East Lumps",3,501,190,2,12.15,0,1,24,2022,14,"Winter"
10,"East Lumps",4,281,107,1,8.82,0,1,24,2022,14,"Winter"
10,"East Lumps",5,384,146,1,9.27,0,1,24,2022,14,"Winter"
10,"East Lumps",6,278,105,1,7.04,0,1,24,2022,14,"Winter"
10,"East Lumps",7,195,74,1,5.98,0,1,24,2022,14,"Winter"
10,"East Lumps",8,208,79,1,6.08,0,1,24,2022,14,"Winter"
10,"East Lumps",9,148,56,1,5.59,0,1,24,2022,14,"Winter"
10,"East Lumps",10,508,193,2,11.35,0,1,24,2022,14,"Winter"
10,"East Lumps",11,254,96,1,7.81,0,1,24,2022,14,"Winter"
10,"East Lumps",12,320,121,1,9.21,0,1,24,2022,14,"Winter"
10,"East Lumps",13,247,94,1,8.12,0,1,24,2022,14,"Winter"
10,"East Lumps",14,297,113,1,6.67,0,1,24,2022,14,"Winter"
10,"East Lumps",15,451,171,2,12.08,0,1,24,2022,14,"Winter"
10,"Cat Point",1,175,66,1,5.76,0,1,24,2022,14,"Winter"
