"Project","Year","Month","Period","Site","Number Live Legal"
"NFWF_1",2015,10,2,"Bulkhead",5
"NFWF_1",2015,10,2,"Dry Bar",2
"NFWF_1",2015,10,2,"Hotel Bar",11
"NFWF_1",2016,1,2,"Bulkhead",0
"NFWF_1",2016,2,2,"Dry Bar",0
"NFWF_1",2016,2,2,"Hotel Bar",0
"NRDA_4044",2016,6,2,"Dry Bar",0
"NFWF_1",2016,4,3,"Bulkhead",0
"NFWF_1",2016,5,3,"Dry Bar",0
"NFWF_1",2016,5,3,"Hotel Bar",0
"NFWF_1",2016,7,3,"Bulkhead",0
"NFWF_1",2016,7,3,"Dry Bar",0
"NFWF_1",2016,8,3,"Hotel Bar",0
"NFWF_1",2016,10,4,"Bulkhead",0
"NFWF_1",2016,10,4,"Dry Bar",0
"NFWF_1",2016,10,4,"Hotel Bar",0
"NFWF_1",2017,1,4,"Bulkhead",0
"NFWF_1",2017,1,4,"Dry Bar",0
"NFWF_1",2017,1,4,"Hotel Bar",0
"NFWF_1",2017,2,4,"Bulkhead",0
"NFWF_1",2017,2,4,"Hotel Bar",0
"NRDA_4044",2017,4,4,"Cat Point",52
"NRDA_4044",2017,4,4,"Eleven Mile",0
"NRDA_4044",2017,4,4,"Hotel Bar",0
"NRDA_4044",2017,4,4,"Normans Bar",0
"NRDA_4044",2017,5,4,"Green Point",0
"NRDA_4044",2017,5,4,"Normans Bar",15
"NRDA_4044",2017,5,4,"North Spur",0
"NRDA_4044",2017,6,4,"Cabbage Lumps",4
"NRDA_4044",2017,6,4,"Cabbage Top",15
"NRDA_4044",2017,6,4,"Dry Bar",0
"NRDA_4044",2017,6,4,"Lighthouse Bar",29
"NRDA_4044",2017,6,4,"Little Gully",0
"NRDA_4044",2017,6,4,"Normans Bar",0
"NRDA_4044",2017,7,4,"Bayou Flats",0
"NRDA_4044",2017,7,4,"Redfish Creek",34
"NRDA_4044",2017,11,4,"Cat Point",16
"NRDA_4044",2017,11,4,"Hotel Bar",0
"NRDA_4044",2017,12,4,"Cabbage Lumps",3
"NRDA_4044",2017,12,4,"Green Point",0
"NRDA_4044",2017,12,4,"North Spur",0
"NFWF_1",2017,4,5,"Bulkhead",380
"NFWF_1",2017,4,5,"Dry Bar",12
"NFWF_1",2017,4,5,"Hotel Bar",231
"NFWF_1",2017,7,5,"Bulkhead",213
"NFWF_1",2017,7,5,"Hotel Bar",118
"NFWF_1",2017,8,5,"Dry Bar",0
"NFWF_1",2017,10,6,"Bulkhead",0
"NFWF_1",2017,10,6,"Hotel Bar",0
