"Survey","StationName","Quadrat","TotalSpat","TotalSeed","TotalLegal","Weight_kg","Number_drills","Month","Day","Year","Period","Season"
8,"Lighthouse",1,173,1,0,5.27,0,8,24,2021,13,"Summer"
8,"Lighthouse",2,165,1,0,4.11,0,8,24,2021,13,"Summer"
8,"Lighthouse",3,492,4,0,7.44,0,8,24,2021,13,"Summer"
8,"Lighthouse",4,308,3,0,6.05,0,8,24,2021,13,"Summer"
8,"Lighthouse",5,726,6,0,5.79,0,8,24,2021,13,"Summer"
8,"Lighthouse",6,588,5,0,6.81,0,8,24,2021,13,"Summer"
8,"Lighthouse",7,459,4,0,5.33,0,8,24,2021,13,"Summer"
8,"Lighthouse",8,583,5,0,6.22,0,8,24,2021,13,"Summer"
8,"Lighthouse",9,295,3,0,5.97,0,8,24,2021,13,"Summer"
8,"Lighthouse",10,148,1,0,2.42,0,8,24,2021,13,"Summer"
8,"Lighthouse",11,214,2,0,4.98,0,8,24,2021,13,"Summer"
8,"Lighthouse",12,227,2,0,4.71,0,8,24,2021,13,"Summer"
8,"Lighthouse",13,169,1,0,3.4,0,8,24,2021,13,"Summer"
8,"Lighthouse",14,36,0,0,5.84,0,8,24,2021,13,"Summer"
8,"Lighthouse",15,26,0,0,1.62,0,8,24,2021,13,"Summer"
8,"Lighthouse",1,270,2,0,5.6,0,8,24,2021,13,"Summer"
8,"Lighthouse",2,306,3,0,4.82,0,8,24,2021,13,"Summer"
8,"Lighthouse",3,233,2,0,6.33,0,8,24,2021,13,"Summer"
8,"Lighthouse",4,157,1,0,5.66,0,8,24,2021,13,"Summer"
8,"Lighthouse",5,274,2,0,5.85,0,8,24,2021,13,"Summer"
8,"Lighthouse",6,500,4,0,7.29,0,8,24,2021,13,"Summer"
8,"Lighthouse",7,297,3,0,6.52,0,8,24,2021,13,"Summer"
8,"Lighthouse",8,150,1,0,6.03,0,8,24,2021,13,"Summer"
8,"Lighthouse",9,295,3,0,5.82,0,8,24,2021,13,"Summer"
8,"Lighthouse",10,305,3,0,4.69,0,8,24,2021,13,"Summer"
8,"Lighthouse",11,465,4,0,7.68,0,8,24,2021,13,"Summer"
8,"Lighthouse",12,325,3,0,8.66,0,8,24,2021,13,"Summer"
8,"Lighthouse",13,139,1,0,5.47,0,8,24,2021,13,"Summer"
8,"Lighthouse",14,140,1,0,5.23,0,8,24,2021,13,"Summer"
8,"Lighthouse",15,185,2,0,7.41,0,8,24,2021,13,"Summer"
8,"East Lumps",1,588,5,0,4.94,0,8,24,2021,13,"Summer"
8,"East Lumps",2,783,7,0,7.2,0,8,24,2021,13,"Summer"
8,"East Lumps",3,1366,12,1,10.38,0,8,24,2021,13,"Summer"
8,"East Lumps",4,770,7,0,6.69,0,8,24,2021,13,"Summer"
8,"East Lumps",5,466,4,0,4.07,0,8,24,2021,13,"Summer"
8,"East Lumps",6,890,8,0,6.18,0,8,24,2021,13,"Summer"
8,"East Lumps",7,955,8,0,6.98,0,8,24,2021,13,"Summer"
8,"East Lumps",8,1034,9,0,6.78,0,8,24,2021,13,"Summer"
8,"East Lumps",9,955,8,0,8.08,0,8,24,2021,13,"Summer"
8,"East Lumps",10,1137,10,0,8.25,0,8,24,2021,13,"Summer"
8,"East Lumps",11,1096,9,0,5.26,0,8,24,2021,13,"Summer"
8,"East Lumps",12,980,8,0,6.28,0,8,24,2021,13,"Summer"
8,"East Lumps",13,727,6,0,5.48,0,8,24,2021,13,"Summer"
8,"East Lumps",14,1077,9,0,6.01,0,8,24,2021,13,"Summer"
8,"East Lumps",15,993,9,0,6.56,0,8,24,2021,13,"Summer"
8,"East Lumps",1,1405,12,1,8.87,0,8,24,2021,13,"Summer"
8,"East Lumps",2,483,4,0,3.66,0,8,24,2021,13,"Summer"
8,"East Lumps",3,999,9,0,7.47,0,8,24,2021,13,"Summer"
8,"East Lumps",4,208,2,0,3.58,0,8,24,2021,13,"Summer"
8,"East Lumps",5,394,3,0,3.62,0,8,24,2021,13,"Summer"
8,"East Lumps",6,864,7,0,9.07,0,8,24,2021,13,"Summer"
8,"East Lumps",7,1270,11,1,10.14,0,8,24,2021,13,"Summer"
8,"East Lumps",8,148,1,0,3.42,0,8,24,2021,13,"Summer"
8,"East Lumps",9,249,2,0,3.13,0,8,24,2021,13,"Summer"
8,"East Lumps",10,258,2,0,3.21,0,8,24,2021,13,"Summer"
8,"East Lumps",11,1327,11,1,11.09,0,8,24,2021,13,"Summer"
8,"East Lumps",12,1283,11,1,11.87,0,8,24,2021,13,"Summer"
8,"East Lumps",13,825,7,0,9.17,0,8,24,2021,13,"Summer"
8,"East Lumps",14,335,3,0,3.45,0,8,24,2021,13,"Summer"
8,"East Lumps",15,466,4,0,2.7,0,8,24,2021,13,"Summer"
8,"Cat Point",1,103,1,0,5.01,0,8,20,2021,13,"Summer"
8,"Cat Point",2,26,0,0,5.61,0,8,20,2021,13,"Summer"
8,"Cat Point",3,285,2,0,13.12,0,8,20,2021,13,"Summer"
8,"Cat Point",4,686,6,0,9.95,0,8,20,2021,13,"Summer"
8,"Cat Point",5,342,3,0,6.98,0,8,20,2021,13,"Summer"
8,"Cat Point",6,715,6,0,12.99,0,8,20,2021,13,"Summer"
8,"Cat Point",7,703,6,0,10.74,0,8,20,2021,13,"Summer"
8,"Cat Point",8,903,8,0,13.57,0,8,20,2021,13,"Summer"
8,"Cat Point",9,505,4,0,8.03,0,8,20,2021,13,"Summer"
8,"Cat Point",10,108,1,0,12.71,0,8,20,2021,13,"Summer"
8,"Cat Point",11,802,7,0,12.68,0,8,20,2021,13,"Summer"
8,"Cat Point",12,106,1,0,13.17,0,8,20,2021,13,"Summer"
8,"Cat Point",13,533,5,0,12.22,0,8,20,2021,13,"Summer"
8,"Cat Point",14,64,1,0,3.46,0,8,20,2021,13,"Summer"
8,"Cat Point",15,1226,11,1,16.3,0,8,20,2021,13,"Summer"
8,"Cat Point",1,169,1,0,2.92,0,8,20,2021,13,"Summer"
8,"Cat Point",2,28,0,0,2.49,0,8,20,2021,13,"Summer"
8,"Cat Point",3,405,3,0,9,0,8,20,2021,13,"Summer"
8,"Cat Point",4,162,1,0,7.03,0,8,20,2021,13,"Summer"
8,"Cat Point",5,294,3,0,6.55,0,8,20,2021,13,"Summer"
8,"Cat Point",6,242,2,0,5.44,0,8,20,2021,13,"Summer"
8,"Cat Point",7,56,0,0,4.11,0,8,20,2021,13,"Summer"
8,"Cat Point",8,503,4,0,8.39,0,8,20,2021,13,"Summer"
8,"Cat Point",9,171,1,0,4.21,0,8,20,2021,13,"Summer"
8,"Cat Point",10,32,0,0,2.01,0,8,20,2021,13,"Summer"
8,"Cat Point",11,346,3,0,11.48,0,8,20,2021,13,"Summer"
8,"Cat Point",12,189,2,0,5.23,0,8,20,2021,13,"Summer"
8,"Cat Point",13,33,0,0,2.26,0,8,20,2021,13,"Summer"
8,"Cat Point",14,318,3,0,9.42,0,8,20,2021,13,"Summer"
8,"Cat Point",15,104,1,0,3.06,0,8,20,2021,13,"Summer"
9,"Lighthouse",1,450,101,0,7.17,0,11,16,2021,14,"Winter"
