"Project","Year","Month","Period","Site","Number Live Seed"
"NFWF_1",2015,10,2,"Bulkhead",12883
"NFWF_1",2015,10,2,"Dry Bar",6034
"NFWF_1",2015,10,2,"Hotel Bar",15072
"NFWF_1",2016,1,2,"Bulkhead",5540
"NFWF_1",2016,2,2,"Dry Bar",2048
"NFWF_1",2016,2,2,"Hotel Bar",5793
"NRDA_4044",2016,6,2,"Dry Bar",3
"NFWF_1",2016,4,3,"Bulkhead",4587
"NFWF_1",2016,5,3,"Dry Bar",941
"NFWF_1",2016,5,3,"Hotel Bar",11239
"NFWF_1",2016,7,3,"Bulkhead",2578
"NFWF_1",2016,7,3,"Dry Bar",2410
"NFWF_1",2016,8,3,"Hotel Bar",4689
"NFWF_1",2016,10,4,"Bulkhead",1566
"NFWF_1",2016,10,4,"Dry Bar",260
"NFWF_1",2016,10,4,"Hotel Bar",2452
"NFWF_1",2017,1,4,"Bulkhead",2123
"NFWF_1",2017,1,4,"Dry Bar",105
"NFWF_1",2017,1,4,"Hotel Bar",1126
"NFWF_1",2017,2,4,"Bulkhead",29
"NFWF_1",2017,2,4,"Hotel Bar",82
"NRDA_4044",2017,4,4,"Cat Point",1198
"NRDA_4044",2017,4,4,"Eleven Mile",0
"NRDA_4044",2017,4,4,"Hotel Bar",86
"NRDA_4044",2017,4,4,"Normans Bar",41
"NRDA_4044",2017,5,4,"Green Point",0
"NRDA_4044",2017,5,4,"Normans Bar",584
"NRDA_4044",2017,5,4,"North Spur",1
"NRDA_4044",2017,6,4,"Cabbage Lumps",38
"NRDA_4044",2017,6,4,"Cabbage Top",15
"NRDA_4044",2017,6,4,"Dry Bar",8
"NRDA_4044",2017,6,4,"Lighthouse Bar",265
"NRDA_4044",2017,6,4,"Little Gully",2
"NRDA_4044",2017,6,4,"Normans Bar",7
"NRDA_4044",2017,7,4,"Bayou Flats",0
"NRDA_4044",2017,7,4,"Redfish Creek",166
"NRDA_4044",2017,11,4,"Cat Point",227
"NRDA_4044",2017,11,4,"Hotel Bar",1
"NRDA_4044",2017,12,4,"Cabbage Lumps",13
"NRDA_4044",2017,12,4,"Green Point",0
"NRDA_4044",2017,12,4,"North Spur",0
"NFWF_1",2017,4,5,"Bulkhead",2050
"NFWF_1",2017,4,5,"Dry Bar",77
"NFWF_1",2017,4,5,"Hotel Bar",1244
"NFWF_1",2017,7,5,"Bulkhead",1169
"NFWF_1",2017,7,5,"Hotel Bar",653
"NFWF_1",2017,8,5,"Dry Bar",2
"NFWF_1",2017,10,6,"Bulkhead",39
"NFWF_1",2017,10,6,"Hotel Bar",41
"NFWF_1",2017,11,6,"Dry Bar",0
"NFWF_1",2018,1,6,"Bulkhead",84
"NFWF_1",2018,2,6,"Dry Bar",0
"NFWF_1",2018,2,6,"Hotel Bar",21
"NRDA_4044",2018,2,6,"Dry Bar",0
"NRDA_4044",2018,3,6,"Bayou Flats",0
"NRDA_4044",2018,3,6,"Eleven Mile",0
"NRDA_4044",2018,3,6,"Hotel Bar",0
"NRDA_4044",2018,3,6,"Lighthouse Bar",180
"NRDA_4044",2018,3,6,"Normans Bar",361
"NRDA_4044",2018,3,6,"Redfish Creek",32
"NRDA_4044",2018,4,6,"Cabbage Top",12
"NRDA_4044",2018,4,6,"Dry Bar",0
"NRDA_4044",2018,4,6,"Little Gully",0
"NFWF_1",2018,4,7,"Dry Bar",0
"NFWF_1",2018,4,7,"Hotel Bar",17
"NFWF_1",2018,5,7,"Bulkhead",52
"NFWF_1",2018,7,7,"Bulkhead",30
"NFWF_1",2018,7,7,"Hotel Bar",0
"NFWF_1",2018,8,7,"Dry Bar",0
"NRDA_5007",2018,6,7,"8 Mile",17
"NRDA_5007",2018,6,7,"9 Mile B",0
"NRDA_5007",2018,6,7,"Cabbage Top",260
"NRDA_5007",2018,6,7,"Hotel Bar",36
"NRDA_5007",2018,6,7,"King 9 Mile",0
"NRDA_5007",2018,6,7,"North Spur",229
"NRDA_5007",2018,8,7,"Cat Point",515
"NRDA_5007",2018,8,7,"Cat Point Spur",280
"NRDA_5007",2018,8,7,"East Hole",83
"NRDA_5007",2018,8,7,"Monkeys Elbow",508
