"Bay","Project","Year","Month","Day","Site","Period","Season","Bottom","Cultch","Quadrat","Weight_kg","Spat","Seed","Legal","Weight"
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,1,0.15,15,4,0,0.15
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,2,0.2,4,1,0,0.2
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,3,0.2,23,6,0,0.2
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,4,0.15,2,0,0,0.15
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,5,0.25,24,6,0,0.25
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,6,0.15,0,0,0,0.15
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,7,0.25,10,3,0,0.25
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,8,0.35,22,6,0,0.35
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,9,0.2,30,8,0,0.2
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,10,0.25,24,7,0,0.25
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,11,0.25,13,3,0,0.25
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,12,0.05,2,0,0,0.05
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,13,0.2,3,1,0,0.2
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,14,0.05,6,2,0,0.05
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",0,15,0.25,25,7,0,0.25
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,1,2,719,191,0,2
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,2,3.25,1488,395,0,3.25
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,3,2.5,818,217,0,2.5
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,4,2,993,264,0,2
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,5,3,1319,350,0,3
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,6,1.75,672,178,0,1.75
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,7,2.75,851,226,0,2.75
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,8,3.25,1118,297,0,3.25
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,9,1.5,626,166,0,1.5
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,10,2,1042,277,0,2
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,11,2,658,175,0,2
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,12,0.85,180,48,0,0.85
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,13,1,465,124,0,1
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,14,1,269,71,0,1
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",200,15,0.75,168,45,0,0.75
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,1,3,842,224,0,3
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,2,2.5,1169,311,0,2.5
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,3,2.25,1084,288,0,2.25
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,4,2,822,219,0,2
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,5,3,1416,377,0,3
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,6,2.4,1127,300,0,2.4
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,7,1.1,671,178,0,1.1
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,8,1.5,618,164,0,1.5
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,9,0.6,157,42,0,0.6
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,10,1,408,108,0,1
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,11,0.5,150,40,0,0.5
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,12,0.75,227,60,0,0.75
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,13,0.75,195,52,0,0.75
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,14,1.4,705,187,0,1.4
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,15,1,284,76,0,1
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",100,16,0.75,224,59,0,0.75
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,1,7,1611,428,0,7
"Apalachicola","NFWF-1",2015,10,6,"Bulkhead",2,"Winter","Shell",400,2,4.5,NA,NA,NA,4.5
