Site,Month,Year,Samples
Cat Point,1,2021,0
East Lumps,1,2021,0
Lighthouse Bar,1,2021,0
Cat Point,2,2021,0
East Lumps,2,2021,0
Lighthouse Bar,2,2021,0
Cat Point,5,2021,0
East Lumps,5,2021,0
Lighthouse Bar,5,2021,0
Cat Point,8,2021,30
East Lumps,8,2021,30
Lighthouse Bar,8,2021,30
Cat Point,10,2021,15
East Lumps,10,2021,15
Lighthouse Bar,10,2021,0
Cat Point,11,2021,0
East Lumps,11,2021,0
Lighthouse Bar,11,2021,15
Cat Point,1,2022,15
East Lumps,1,2022,15
Lighthouse Bar,1,2022,0
Cat Point,2,2022,0
East Lumps,2,2022,0
Lighthouse Bar,2,2022,15
Cat Point,5,2022,15
East Lumps,5,2022,15
Lighthouse Bar,5,2022,15
Cat Point,8,2022,0
East Lumps,8,2022,0
Lighthouse Bar,8,2022,0
Cat Point,10,2022,0
East Lumps,10,2022,0
Lighthouse Bar,10,2022,0
Cat Point,11,2022,0
East Lumps,11,2022,0
Lighthouse Bar,11,2022,0
