"Var1","Var2","Var3","Freq"
"Bulkhead","1","2015",0
"Dry Bar","1","2015",0
"Hotel Bar","1","2015",0
"Bulkhead","2","2015",0
"Dry Bar","2","2015",0
"Hotel Bar","2","2015",0
"Bulkhead","4","2015",0
"Dry Bar","4","2015",0
"Hotel Bar","4","2015",0
"Bulkhead","5","2015",0
"Dry Bar","5","2015",0
"Hotel Bar","5","2015",0
"Bulkhead","7","2015",0
"Dry Bar","7","2015",0
"Hotel Bar","7","2015",0
"Bulkhead","8","2015",0
"Dry Bar","8","2015",0
"Hotel Bar","8","2015",0
"Bulkhead","9","2015",0
"Dry Bar","9","2015",0
"Hotel Bar","9","2015",0
"Bulkhead","10","2015",61
"Dry Bar","10","2015",60
"Hotel Bar","10","2015",60
"Bulkhead","11","2015",0
"Dry Bar","11","2015",0
"Hotel Bar","11","2015",0
"Bulkhead","12","2015",0
"Dry Bar","12","2015",0
"Hotel Bar","12","2015",0
"Bulkhead","1","2016",60
"Dry Bar","1","2016",0
"Hotel Bar","1","2016",0
"Bulkhead","2","2016",0
"Dry Bar","2","2016",60
"Hotel Bar","2","2016",60
"Bulkhead","4","2016",60
"Dry Bar","4","2016",0
"Hotel Bar","4","2016",0
"Bulkhead","5","2016",0
"Dry Bar","5","2016",60
"Hotel Bar","5","2016",60
"Bulkhead","7","2016",60
"Dry Bar","7","2016",60
"Hotel Bar","7","2016",0
"Bulkhead","8","2016",0
"Dry Bar","8","2016",0
"Hotel Bar","8","2016",60
"Bulkhead","9","2016",0
"Dry Bar","9","2016",0
"Hotel Bar","9","2016",0
"Bulkhead","10","2016",60
"Dry Bar","10","2016",60
"Hotel Bar","10","2016",60
"Bulkhead","11","2016",0
"Dry Bar","11","2016",0
"Hotel Bar","11","2016",0
"Bulkhead","12","2016",0
"Dry Bar","12","2016",0
"Hotel Bar","12","2016",0
"Bulkhead","1","2017",60
"Dry Bar","1","2017",60
"Hotel Bar","1","2017",60
"Bulkhead","2","2017",1
"Dry Bar","2","2017",0
"Hotel Bar","2","2017",1
"Bulkhead","4","2017",60
"Dry Bar","4","2017",60
"Hotel Bar","4","2017",60
"Bulkhead","5","2017",0
"Dry Bar","5","2017",0
"Hotel Bar","5","2017",0
"Bulkhead","7","2017",60
"Dry Bar","7","2017",0
"Hotel Bar","7","2017",60
"Bulkhead","8","2017",0
"Dry Bar","8","2017",60
"Hotel Bar","8","2017",0
"Bulkhead","9","2017",0
"Dry Bar","9","2017",0
"Hotel Bar","9","2017",0
"Bulkhead","10","2017",60
"Dry Bar","10","2017",0
"Hotel Bar","10","2017",60
"Bulkhead","11","2017",0
"Dry Bar","11","2017",60
"Hotel Bar","11","2017",0
"Bulkhead","12","2017",0
"Dry Bar","12","2017",0
"Hotel Bar","12","2017",0
"Bulkhead","1","2018",60
"Dry Bar","1","2018",0
"Hotel Bar","1","2018",0
"Bulkhead","2","2018",0
"Dry Bar","2","2018",60
"Hotel Bar","2","2018",60
"Bulkhead","4","2018",0
"Dry Bar","4","2018",60
"Hotel Bar","4","2018",60
"Bulkhead","5","2018",60
"Dry Bar","5","2018",0
"Hotel Bar","5","2018",0
"Bulkhead","7","2018",60
"Dry Bar","7","2018",0
"Hotel Bar","7","2018",60
"Bulkhead","8","2018",0
"Dry Bar","8","2018",60
"Hotel Bar","8","2018",0
"Bulkhead","9","2018",0
"Dry Bar","9","2018",0
"Hotel Bar","9","2018",0
"Bulkhead","10","2018",0
"Dry Bar","10","2018",0
"Hotel Bar","10","2018",0
"Bulkhead","11","2018",0
"Dry Bar","11","2018",60
"Hotel Bar","11","2018",60
"Bulkhead","12","2018",60
"Dry Bar","12","2018",0
"Hotel Bar","12","2018",0
"Bulkhead","1","2019",60
"Dry Bar","1","2019",60
"Hotel Bar","1","2019",60
"Bulkhead","2","2019",0
"Dry Bar","2","2019",0
"Hotel Bar","2","2019",0
"Bulkhead","4","2019",0
"Dry Bar","4","2019",60
"Hotel Bar","4","2019",60
"Bulkhead","5","2019",60
"Dry Bar","5","2019",0
"Hotel Bar","5","2019",0
"Bulkhead","7","2019",0
"Dry Bar","7","2019",0
"Hotel Bar","7","2019",0
"Bulkhead","8","2019",0
"Dry Bar","8","2019",0
"Hotel Bar","8","2019",60
"Bulkhead","9","2019",60
"Dry Bar","9","2019",60
"Hotel Bar","9","2019",0
"Bulkhead","10","2019",0
"Dry Bar","10","2019",0
"Hotel Bar","10","2019",0
"Bulkhead","11","2019",0
"Dry Bar","11","2019",0
"Hotel Bar","11","2019",0
"Bulkhead","12","2019",0
"Dry Bar","12","2019",0
"Hotel Bar","12","2019",0
