"Bay","Period","Year","Month","Project","Site","n"
"Apalachicola",2,2015,10,"NFWF-1","Bulkhead",75
"Apalachicola",2,2015,10,"NFWF-1","Dry Bar",74
"Apalachicola",2,2015,10,"NFWF-1","Hotel Bar",74
"Apalachicola",2,2016,1,"NFWF-1","Bulkhead",75
"Apalachicola",2,2016,2,"NFWF-1","Dry Bar",75
"Apalachicola",2,2016,2,"NFWF-1","Hotel Bar",75
"Apalachicola",3,2016,4,"NFWF-1","Bulkhead",75
"Apalachicola",3,2016,5,"NFWF-1","Dry Bar",75
"Apalachicola",3,2016,5,"NFWF-1","Hotel Bar",75
"Apalachicola",3,2016,6,"NRDA-4044","Dry Bar",5
"Apalachicola",3,2016,7,"NFWF-1","Bulkhead",75
"Apalachicola",3,2016,7,"NFWF-1","Dry Bar",75
"Apalachicola",3,2016,8,"NFWF-1","Hotel Bar",75
"Apalachicola",4,2016,10,"NFWF-1","Bulkhead",75
"Apalachicola",4,2016,10,"NFWF-1","Dry Bar",75
"Apalachicola",4,2016,10,"NFWF-1","Hotel Bar",75
"Apalachicola",4,2017,1,"NFWF-1","Bulkhead",74
"Apalachicola",4,2017,1,"NFWF-1","Dry Bar",75
"Apalachicola",4,2017,1,"NFWF-1","Hotel Bar",74
"Apalachicola",4,2017,2,"NFWF-1","Bulkhead",1
"Apalachicola",4,2017,2,"NFWF-1","Hotel Bar",1
"Apalachicola",5,2017,4,"NFWF-1","Bulkhead",75
"Apalachicola",5,2017,4,"NFWF-1","Dry Bar",75
"Apalachicola",5,2017,4,"NFWF-1","Hotel Bar",75
"Apalachicola",5,2017,4,"NRDA-4044","Cat Point",30
"Apalachicola",5,2017,4,"NRDA-4044","Eleven Mile",30
"Apalachicola",5,2017,4,"NRDA-4044","Hotel Bar",45
"Apalachicola",5,2017,4,"NRDA-4044","Normans Bar",15
"Apalachicola",5,2017,5,"NRDA-4044","Green Point",15
"Apalachicola",5,2017,5,"NRDA-4044","Normans Bar",30
"Apalachicola",5,2017,5,"NRDA-4044","North Spur",15
"Apalachicola",5,2017,6,"NRDA-4044","Cabbage Lumps",15
"Apalachicola",5,2017,6,"NRDA-4044","Cabbage Top",30
"Apalachicola",5,2017,6,"NRDA-4044","Dry Bar",55
"Apalachicola",5,2017,6,"NRDA-4044","Lighthouse Bar",30
"Apalachicola",5,2017,6,"NRDA-4044","Little Gully",30
"Apalachicola",5,2017,6,"NRDA-4044","Normans Bar",15
"Apalachicola",5,2017,7,"NFWF-1","Bulkhead",75
"Apalachicola",5,2017,7,"NFWF-1","Hotel Bar",75
"Apalachicola",5,2017,7,"NRDA-4044","Bayou Flats",15
"Apalachicola",5,2017,7,"NRDA-4044","Redfish Creek",45
"Apalachicola",5,2017,8,"NFWF-1","Dry Bar",75
"Apalachicola",6,2017,10,"NFWF-1","Bulkhead",75
"Apalachicola",6,2017,10,"NFWF-1","Hotel Bar",75
"Apalachicola",6,2017,11,"NFWF-1","Dry Bar",75
"Apalachicola",6,2017,11,"NRDA-4044","Cat Point",30
"Apalachicola",6,2017,11,"NRDA-4044","Hotel Bar",15
"Apalachicola",6,2017,12,"NRDA-4044","Cabbage Lumps",15
"Apalachicola",6,2017,12,"NRDA-4044","Green Point",15
"Apalachicola",6,2017,12,"NRDA-4044","North Spur",15
"Apalachicola",6,2018,1,"NFWF-1","Bulkhead",75
"Apalachicola",6,2018,2,"NFWF-1","Dry Bar",75
"Apalachicola",6,2018,2,"NFWF-1","Hotel Bar",75
"Apalachicola",6,2018,2,"NRDA-4044","Dry Bar",45
"Apalachicola",6,2018,3,"NRDA-4044","Bayou Flats",15
"Apalachicola",6,2018,3,"NRDA-4044","Eleven Mile",30
"Apalachicola",6,2018,3,"NRDA-4044","Hotel Bar",30
"Apalachicola",6,2018,3,"NRDA-4044","Lighthouse Bar",30
"Apalachicola",6,2018,3,"NRDA-4044","Normans Bar",60
"Apalachicola",6,2018,3,"NRDA-4044","Redfish Creek",45
"Apalachicola",7,2018,4,"NFWF-1","Dry Bar",75
