"Bay","Project","Year","Month","Period","Site","Number_Quadrats"
"Apalachicola","NFWF_1",2015,10,2,"Bulkhead",76
"Apalachicola","NFWF_1",2015,10,2,"Dry Bar",75
"Apalachicola","NFWF_1",2015,10,2,"Hotel Bar",75
"Apalachicola","NFWF_1",2016,1,2,"Bulkhead",75
"Apalachicola","NFWF_1",2016,2,2,"Dry Bar",75
"Apalachicola","NFWF_1",2016,2,2,"Hotel Bar",75
"Apalachicola","NRDA_4044",2016,6,2,"Dry Bar",5
"Apalachicola","NFWF_1",2016,4,3,"Bulkhead",75
"Apalachicola","NFWF_1",2016,5,3,"Dry Bar",75
"Apalachicola","NFWF_1",2016,5,3,"Hotel Bar",75
"Apalachicola","NFWF_1",2016,7,3,"Bulkhead",75
"Apalachicola","NFWF_1",2016,7,3,"Dry Bar",75
"Apalachicola","NFWF_1",2016,8,3,"Hotel Bar",75
"Apalachicola","NFWF_1",2016,10,4,"Bulkhead",75
"Apalachicola","NFWF_1",2016,10,4,"Dry Bar",75
"Apalachicola","NFWF_1",2016,10,4,"Hotel Bar",75
"Apalachicola","NFWF_1",2017,1,4,"Bulkhead",75
"Apalachicola","NFWF_1",2017,1,4,"Dry Bar",75
"Apalachicola","NFWF_1",2017,1,4,"Hotel Bar",75
"Apalachicola","NFWF_1",2017,2,4,"Bulkhead",1
"Apalachicola","NFWF_1",2017,2,4,"Hotel Bar",1
"Apalachicola","NRDA_4044",2017,4,4,"Cat Point",30
"Apalachicola","NRDA_4044",2017,4,4,"Eleven Mile",30
"Apalachicola","NRDA_4044",2017,4,4,"Hotel Bar",45
"Apalachicola","NRDA_4044",2017,4,4,"Normans Bar",15
"Apalachicola","NRDA_4044",2017,5,4,"Green Point",15
"Apalachicola","NRDA_4044",2017,5,4,"Normans Bar",30
"Apalachicola","NRDA_4044",2017,5,4,"North Spur",15
"Apalachicola","NRDA_4044",2017,6,4,"Cabbage Lumps",15
"Apalachicola","NRDA_4044",2017,6,4,"Cabbage Top",30
"Apalachicola","NRDA_4044",2017,6,4,"Dry Bar",55
"Apalachicola","NRDA_4044",2017,6,4,"Lighthouse Bar",30
"Apalachicola","NRDA_4044",2017,6,4,"Little Gully",30
"Apalachicola","NRDA_4044",2017,6,4,"Normans Bar",15
"Apalachicola","NRDA_4044",2017,7,4,"Bayou Flats",15
"Apalachicola","NRDA_4044",2017,7,4,"Redfish Creek",45
"Apalachicola","NRDA_4044",2017,11,4,"Cat Point",30
"Apalachicola","NRDA_4044",2017,11,4,"Hotel Bar",15
"Apalachicola","NRDA_4044",2017,12,4,"Cabbage Lumps",15
"Apalachicola","NRDA_4044",2017,12,4,"Green Point",15
"Apalachicola","NRDA_4044",2017,12,4,"North Spur",15
"Apalachicola","NFWF_1",2017,4,5,"Bulkhead",75
"Apalachicola","NFWF_1",2017,4,5,"Dry Bar",75
"Apalachicola","NFWF_1",2017,4,5,"Hotel Bar",75
"Apalachicola","NFWF_1",2017,7,5,"Bulkhead",75
"Apalachicola","NFWF_1",2017,7,5,"Hotel Bar",75
"Apalachicola","NFWF_1",2017,8,5,"Dry Bar",75
"Apalachicola","NFWF_1",2017,10,6,"Bulkhead",75
"Apalachicola","NFWF_1",2017,10,6,"Hotel Bar",75
"Apalachicola","NFWF_1",2017,11,6,"Dry Bar",75
"Apalachicola","NFWF_1",2018,1,6,"Bulkhead",75
"Apalachicola","NFWF_1",2018,2,6,"Dry Bar",75
"Apalachicola","NFWF_1",2018,2,6,"Hotel Bar",75
"Apalachicola","NRDA_4044",2018,2,6,"Dry Bar",45
"Apalachicola","NRDA_4044",2018,3,6,"Bayou Flats",15
"Apalachicola","NRDA_4044",2018,3,6,"Eleven Mile",30
"Apalachicola","NRDA_4044",2018,3,6,"Hotel Bar",30
"Apalachicola","NRDA_4044",2018,3,6,"Lighthouse Bar",30
"Apalachicola","NRDA_4044",2018,3,6,"Normans Bar",60
"Apalachicola","NRDA_4044",2018,3,6,"Redfish Creek",45
"Apalachicola","NRDA_4044",2018,4,6,"Cabbage Top",30
"Apalachicola","NRDA_4044",2018,4,6,"Dry Bar",15
"Apalachicola","NRDA_4044",2018,4,6,"Little Gully",30
"Apalachicola","NFWF_1",2018,4,7,"Dry Bar",75
"Apalachicola","NFWF_1",2018,4,7,"Hotel Bar",75
"Apalachicola","NFWF_1",2018,5,7,"Bulkhead",75
"Apalachicola","NFWF_1",2018,7,7,"Bulkhead",75
"Apalachicola","NFWF_1",2018,7,7,"Hotel Bar",75
"Apalachicola","NFWF_1",2018,8,7,"Dry Bar",75
"Apalachicola","NRDA_5007",2018,6,7,"8 Mile",30
"Apalachicola","NRDA_5007",2018,6,7,"9 Mile B",5
"Apalachicola","NRDA_5007",2018,6,7,"Cabbage Top",15
"Apalachicola","NRDA_5007",2018,6,7,"Hotel Bar",45
"Apalachicola","NRDA_5007",2018,6,7,"King 9 Mile",15
"Apalachicola","NRDA_5007",2018,6,7,"North Spur",30
"Apalachicola","NRDA_5007",2018,8,7,"Cat Point",45
"Apalachicola","NRDA_5007",2018,8,7,"Cat Point Spur",30
"Apalachicola","NRDA_5007",2018,8,7,"East Hole",30
"Apalachicola","NRDA_5007",2018,8,7,"Monkeys Elbow",30
"Apalachicola","NRDA_5007",2018,8,7,"Peanut Ridge",30
"Apalachicola","NRDA_5007",2018,9,7,"Bulkhead",15
"Apalachicola","NRDA_5007",2018,9,7,"East Hole",60
"Apalachicola","NFWF_1",2018,11,8,"Dry Bar",75
"Apalachicola","NFWF_1",2018,11,8,"Hotel Bar",75
"Apalachicola","NFWF_1",2018,12,8,"Bulkhead",75
"Apalachicola","NFWF_1",2019,1,8,"Bulkhead",75
"Apalachicola","NFWF_1",2019,1,8,"Dry Bar",75
"Apalachicola","NFWF_1",2019,1,8,"Hotel Bar",75
"Apalachicola","NRDA_4044",2019,9,8,"Cabbage Lumps",15
"Apalachicola","NRDA_4044",2019,9,8,"Cabbage Top",30
"Apalachicola","NRDA_4044",2019,9,8,"Green Point",15
"Apalachicola","NRDA_4044",2019,9,8,"North Spur",15
"Apalachicola","NRDA_4044",2019,10,8,"Dry Bar",60
"Apalachicola","NRDA_4044",2019,10,8,"Hotel Bar",45
"Apalachicola","NRDA_4044",2019,10,8,"Redfish Creek",15
"Apalachicola","NRDA_4044",2019,11,8,"Bayou Flats",15
"Apalachicola","NRDA_4044",2019,11,8,"Eleven Mile",30
"Apalachicola","NRDA_4044",2019,11,8,"Lighthouse Bar",30
"Apalachicola","NRDA_4044",2019,11,8,"Normans Bar",60
"Apalachicola","NRDA_4044",2019,11,8,"Redfish Creek",30
"Apalachicola","NRDA_4044",2019,12,8,"Cat Point",30
"Apalachicola","NRDA_4044",2019,12,8,"Little Gully",30
"Apalachicola","NFWF_1",2019,4,9,"Dry Bar",75
"Apalachicola","NFWF_1",2019,4,9,"Hotel Bar",75
"Apalachicola","NFWF_1",2019,5,9,"Bulkhead",75
"Apalachicola","NFWF_1",2019,8,9,"Hotel Bar",75
"Apalachicola","NFWF_1",2019,9,9,"Bulkhead",75
"Apalachicola","NFWF_1",2019,9,9,"Dry Bar",75
"Apalachicola","NRDA_5007",2019,6,9,"9 Mile B",10
"Apalachicola","NRDA_5007",2019,6,9,"Bulkhead",15
"Apalachicola","NRDA_5007",2019,6,9,"East Hole",30
"Apalachicola","NRDA_5007",2019,6,9,"Hotel Bar",45
"Apalachicola","NRDA_5007",2019,7,9,"8 Mile",30
"Apalachicola","NRDA_5007",2019,7,9,"9 Mile B",15
"Apalachicola","NRDA_5007",2019,7,9,"Cabbage Top",15
"Apalachicola","NRDA_5007",2019,7,9,"East Hole",60
"Apalachicola","NRDA_5007",2019,7,9,"King 9 Mile",15
"Apalachicola","NRDA_5007",2019,7,9,"North Spur",30
"Apalachicola","NRDA_5007",2019,8,9,"Cat Point",45
"Apalachicola","NRDA_5007",2019,8,9,"Cat Point Spur",30
"Apalachicola","NRDA_5007",2019,8,9,"Monkeys Elbow",30
"Apalachicola","NRDA_5007",2019,8,9,"Peanut Ridge",30
"Apalachicola","FWC_2021",2020,9,11,"Bulkhead",15
"Apalachicola","FWC_2021",2020,9,11,"Cat Point",15
"Apalachicola","FWC_2021",2020,9,11,"East Hole",15
"Apalachicola","FWC_2021",2020,9,11,"East Lumps",15
"Apalachicola","FWC_2021",2020,9,11,"Green Point",15
"Apalachicola","FWC_2021",2020,9,11,"Hotel Bar",15
"Apalachicola","FWC_2021",2020,9,11,"Lighthouse",15
"Apalachicola","FWC_2021",2020,9,11,"Normans",15
"Apalachicola","FWC_2021",2020,9,11,"Platform",15
"Apalachicola","FWC_2021",2020,9,11,"Porters",15
"Apalachicola","FWC_2021",2020,10,12,"Cabbage Top",15
"Apalachicola","FWC_2021",2020,10,12,"Dry Bar",15
"Apalachicola","FWC_2021",2020,10,12,"Eleven Mile",15
"Apalachicola","FWC_2021",2020,10,12,"Halfmoon",15
"Apalachicola","FWC_2021",2020,10,12,"Paradise Flats",15
"Apalachicola","FWC_2021",2021,3,12,"Bulkhead",15
"Apalachicola","FWC_2021",2021,3,12,"Cat Point",15
"Apalachicola","FWC_2021",2021,3,12,"East Hole",15
"Apalachicola","FWC_2021",2021,3,12,"East Lumps",15
